Reaction_ID,Mean_IBD,Mean_Control,Fold_Change,P_value,FDR_corrected_q
FBA,6411.168431827767,8656.934538558118,0.7405818310479679,8.665340676123355e-06,2.4996175027278907e-05
EX_cytd(e),-588.7453172744455,-935.454149965625,0.6293684380961697,1.0039868712468551e-05,2.841472277113741e-05
dreplication,5.2717694992796655,8.572291717652822,0.6149778464052467,1.0385426264085066e-05,2.8848406289125182e-05
EAR4M6,0.1449382083296281,0.24638421220640228,0.5882609402270048,1.242873588310713e-05,3.389655240847399e-05
PPA,4519.549215797419,6513.947245663281,0.6938264995631257,1.5872404369870694e-05,4.251536884786793e-05
PSDAI17,0.04500529535765508,0.07311680097151267,0.6155260454459677,2.111652033457501e-05,5.461169052045261e-05
UDCPDPS,0.14382185905331307,0.24015788546692857,0.5988637798575153,2.111652033457501e-05,5.461169052045261e-05
AGPAT180,2.2346997460144826,7.474272470597848,0.2989855875344794,2.512375961177063e-05,6.265996893523769e-05
ETHAAL,108.50563279403411,15.625,6.944360498818183,2.5951544004009147e-05,6.265996893523769e-05
PBUTT,1252.2351806305182,2089.6499355568517,0.599255961165008,2.6233190055352374e-05,6.265996893523769e-05
PLPS,48.74345377420052,12.80403318759323,3.806882804820565,2.984783371043118e-05,6.265996893523769e-05
UAMAS,0.14970831707160273,0.24736031898412195,0.6052236578867466,3.049451821514901e-05,6.265996893523769e-05
UAMAGS,0.14970831707160348,0.24736031898412195,0.6052236578867496,3.049451821514901e-05,6.265996893523769e-05
PEPGLY,0.1497083170716038,0.24736031898412225,0.6052236578867503,3.049451821514901e-05,6.265996893523769e-05
UAGCVT_r,0.14970831707160273,0.24736031898412195,0.6052236578867466,3.049451821514901e-05,6.265996893523769e-05
GUI2,360.0152208420706,726.6615146713152,0.49543730275149267,3.049451821514901e-05,6.265996893523769e-05
PAPPT3,0.1497083170716043,0.24736031898412195,0.605223657886753,3.049451821514901e-05,6.265996893523769e-05
UAGPT3,0.14970831707160376,0.24736031898412195,0.6052236578867507,3.049451821514901e-05,6.265996893523769e-05
ALAALA,0.14968650906960915,0.2473023224309443,0.6052774094404512,3.049451821514901e-05,6.265996893523769e-05
UAAGDS,0.14970831707160295,0.24736031898412195,0.6052236578867475,3.049451821514901e-05,6.265996893523769e-05
UDCPDP,0.1497083170716024,0.24736031898412195,0.6052236578867453,3.049451821514901e-05,6.265996893523769e-05
UGMDDS,0.1497083170716043,0.24736031898412195,0.605223657886753,3.049451821514901e-05,6.265996893523769e-05
CYTDtex,535.8639909975919,837.3610898092141,0.6399437441255889,3.115450360187164e-05,6.315102081460467e-05
FDH2,139.79692389164052,278.87739573743306,0.5012845287154835,3.578684900140448e-05,7.157369800280895e-05
ACONTb,-936.7032160969366,-1602.8382459284483,0.5844028357049521,4.0210329467449074e-05,7.936249236996528e-05
TPI,10707.878545217354,13258.882916290497,0.8076003546317725,4.37481841466006e-05,8.522373535052065e-05
AGMD,21.583904495987245,26.356415248345186,0.8189241326110315,4.5149469213907356e-05,8.572684027957093e-05
NCPTRCA,21.583904495987245,26.356415248345186,0.8189241326110315,4.5149469213907356e-05,8.572684027957093e-05
PPAKr,3639.1803834190896,5214.414603847088,0.6979077537743502,6.632855328333254e-05,0.0001228306542283936
PTA2,3639.1803834190896,5214.414603847088,0.6979077537743502,6.632855328333254e-05,0.0001228306542283936
FOLabcpp,0.0038172299791277044,0.008493955894960825,0.44940543915377956,8.30662885952039e-05,0.0001519505279180559
MMCD,2124.98598529396,3482.4722998752404,0.610194655495203,9.965377458249973e-05,0.0001800971829804212
FOLRrev,0.004244107476237671,0.007621003167013437,0.5568961701272822,0.00010798896440408705,0.00019283743643586974
URIDK1,94.3709146539195,179.47543517714638,0.5258152156632089,0.00012173415857138006,0.0002148249857142001
GALURt2rpp,-304.5329351290909,-625.822062346875,0.48661265470103726,0.000146917589332443,0.0002558109800291953
GLYK,571.2004385497258,922.1985338607708,0.619389879268625,0.00014837036841693326,0.0002558109800291953
GALURt2r,-55.482285717181824,-100.8394523309375,0.5502041555630294,0.0001857620253901689,0.00031663981600596973
CYTDt2r,52.87224684952531,98.09249981598623,0.5390039702190225,0.00024557242326636586,0.0004092873721106098
ADMDC,9.405752517088475,2.9625043767903554,3.1749328678727156,0.00024557242326636586,0.0004092873721106098
EX_mal_L_m,-9.22594948529106,-1.56179729284375,5.907264359827566,0.00025030168324422793,0.0004125851921608153
