Sample_ID,Stratification_Group,Diet_Condition,BCAA_Multiplier,Growth_Rate,3MOPLPAMO_Flux
PRISM.7855,Track A (Dorea Present),High_Overdrive_10x,10.0,0.8047034925390373,0.015284351677053503
PRISM.7858,Track A (Dorea Present),Baseline_1x,1.0,0.8516396047648012,0.028273313549685427
PRISM.7858,Track A (Dorea Present),Moderate_2x,2.0,0.8512706270896591,0.028274759645541405
PRISM.7858,Track A (Dorea Present),High_Overdrive_10x,10.0,0.8514265571273559,0.03274588763271514
PRISM.7860,Track A (Dorea Present),Baseline_1x,1.0,0.7623375728935289,0.021196737138627707
PRISM.7860,Track A (Dorea Present),Moderate_2x,2.0,0.7623395760123921,0.021414269709909912
PRISM.7860,Track A (Dorea Present),High_Overdrive_10x,10.0,0.7628063851247089,0.045266116994842474
PRISM.7861,Track A (Dorea Present),Baseline_1x,1.0,0.5187469314798874,0.054855639927644965
PRISM.7861,Track A (Dorea Present),Moderate_2x,2.0,0.5171361525110383,0.0608771210646055
PRISM.7861,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5179842570455117,0.056382023712918804
PRISM.7862,Track A (Dorea Present),Baseline_1x,1.0,0.570537978838749,0.03774277202661552
PRISM.7862,Track A (Dorea Present),Moderate_2x,2.0,0.5710029783038012,0.025749649219458767
PRISM.7862,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5719249693341495,0.027864082197715943
PRISM.7870,Track A (Dorea Present),Baseline_1x,1.0,0.5087185428399236,0.03636673107511041
PRISM.7870,Track A (Dorea Present),Moderate_2x,2.0,0.5088123319500706,0.039487941991672444
PRISM.7870,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5084024650528924,0.0304414484382812
PRISM.7874,Track A (Dorea Present),Baseline_1x,1.0,0.6009096706392754,0.014111281551808246
PRISM.7874,Track A (Dorea Present),Moderate_2x,2.0,0.6006197827799384,0.013596624801188298
PRISM.7874,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6014352564387079,0.032097721719494515
PRISM.7899,Track A (Dorea Present),Baseline_1x,1.0,0.8150881438126345,0.01755270975416498
PRISM.7899,Track A (Dorea Present),Moderate_2x,2.0,0.8192768765685802,0.03303830280645787
PRISM.7899,Track A (Dorea Present),High_Overdrive_10x,10.0,0.8190930049960072,0.0328371841091129
PRISM.7904,Track A (Dorea Present),Baseline_1x,1.0,0.5839696521558059,0.018606046305693607
PRISM.7904,Track A (Dorea Present),Moderate_2x,2.0,0.5811612667757242,0.009283356801592894
PRISM.7904,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5847671597528756,0.03478621152653781
PRISM.7906,Track A (Dorea Present),Baseline_1x,1.0,0.6956001855893588,0.04011827294306899
PRISM.7906,Track A (Dorea Present),Moderate_2x,2.0,0.6953053514055543,0.03717085529056504
PRISM.7906,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6958950611789619,0.023188486093272516
PRISM.7908,Track A (Dorea Present),Baseline_1x,1.0,0.5604013254698686,0.03487760867405943
PRISM.7908,Track A (Dorea Present),Moderate_2x,2.0,0.5565926906497367,0.026124077799396125
PRISM.7908,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5618439927037304,0.026432619542365678
PRISM.7909,Track A (Dorea Present),Baseline_1x,1.0,0.558410653315524,0.02953879075012042
PRISM.7909,Track A (Dorea Present),Moderate_2x,2.0,0.5592227664506679,0.029557395065200737
PRISM.7909,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5589593793313375,0.029557071467975073
PRISM.7910,Track A (Dorea Present),Baseline_1x,1.0,0.6099913785450914,0.00775987909747525
PRISM.7910,Track A (Dorea Present),Moderate_2x,2.0,0.6105465701972455,0.007768832638554509
PRISM.7910,Track A (Dorea Present),High_Overdrive_10x,10.0,0.6127428385599628,0.007847155054400054
PRISM.7911,Track A (Dorea Present),Baseline_1x,1.0,0.5669088574492919,0.016866769105821973
PRISM.7911,Track A (Dorea Present),Moderate_2x,2.0,0.5648789033341274,0.016933250068168117
PRISM.7911,Track A (Dorea Present),High_Overdrive_10x,10.0,0.5644985748793132,0.034286282557390316
PRISM.7947,Track B (Dorea Absent),Baseline_1x,1.0,0.9216391054459944,0.0
PRISM.7947,Track B (Dorea Absent),Moderate_2x,2.0,0.9216839768460445,0.0
